track_name,title,url,job_type,client_location,description,min_budget,max_budget,fixed_price,experience_level,skills,proposals,interviewing,invites_sent,unanswered_invites,client_total_spent,duration,work_hours,hires,active,client_industry,client_type
android_developer,Deploy Flutter Application with Laravel Backend for Local Testing,https://www.upwork.com/jobs/Deploy-Flutter-Application-with-Laravel-Backend-for-Local-Testing_~021898384758533204970/?referrer_url_path=/nx/search/jobs/,Fixed-price,Morocco,"We are looking for an experienced developer to assist in deploying a Flutter application integrated with a Laravel backend on a local machine for testing purposes. The ideal candidate should have strong experience with both frameworks, local server setup, and environment configuration.

Responsibilities:

Set up the development environment on a local machine.
Install and configure the necessary dependencies for both Flutter and Laravel.
Ensure the application is running locally for testing, including the backend server.
Provide guidance on setting up the local environment for ongoing testing and development.
If you have hands-on experience deploying Flutter and Laravel apps locally and can assist with a smooth testing setup, we’d love to hear from you!",$15.00,,['$15.00'],Expert,"['Flutter', 'MySQL', 'Laravel', 'PHP']",,,,,,,,1.0,1.0,Transportation & Warehousing,Small company (2-9 people)
android_developer,,https://www.upwork.com/jobs/Hybrid-mobile-apps-for-existing-web-app_~021898384734048453782/?referrer_url_path=/nx/search/jobs/,,,,,,,Expert,[],,,,,,,,,,,
android_developer,Create simple Web App for taxi business for customers to book trips online using escrow payment,https://www.upwork.com/jobs/Create-simple-Web-App-for-taxi-business-for-customers-book-trips-online-using-escrow-payment_~021898377891861965802/?referrer_url_path=/nx/search/jobs/,Fixed-price,Australia,"Web App Development: Online Taxi Booking System  

Overview
We need a simple yet efficient Web App for a small taxi business, allowing passengers to book trips online seamlessly. The application should provide a user-friendly interface for customers to enter trip details, calculate fares, make payments, and enable admins to manage bookings efficiently.



Core Features & Functionality

1. Customer Booking Form  
Customers should be able to enter the following details:  
- Customer Name  
- Customer mobile number
- Pick-up Address (Google Maps integration for accurate input & auto-complete)  
- Drop-off Address (Google Maps integration for accurate input & auto-complete)  
- Number of Passengers
- Add Stop/Multiple Destinations Option (if required)  
- Date & Time Selection:
  - Book Now (immediate trip request)  
  - Schedule for Later (calendar-based date & time selection)  

2. Fare Calculation & Payment Processing  
- The system will calculate the trip fare based on a formula that we will provide later.  
- Customers proceed with payment, which will be held in escrow (or any better alternative recommended by the developer).  

3. Booking Approval Process (Admin Panel)  
- Admin receives a notification for each booking request.  
- Admin can Accept or Reject the booking.  
- If Rejected: Payment is automatically refunded, and the customer is notified with the reason (e.g., ""No driver available"").  
- If Accepted:  
  - Admin is prompted to assign the ride to a driver from a predefined driver list.  
  - Customer receives booking confirmation text with driver details  

4. Ride Completion & Cancellation Handling
- Once a ride is accepted, admin is prompted with:  
  - End Ride (indicating the trip was successfully completed).  
  - Ride Cancelled (if a cancellation occurs).  
- If the ride is cancelled after being accepted, the payment is refunded back to the customer automatically.  

5. Driver Management (Admin Panel)  
- Ability to maintain a list of drivers in the system.  
- Assign drivers to accepted rides.  
- Show assigned driver details to customers upon booking confirmation.  



Technical Considerations
- Google Maps API for location inputs and fare estimation.  
- Escrow-based payment solution (or developer’s recommendation for an alternative secure transaction system).  
- Admin Panel for managing bookings and drivers.  
- Responsive UI (desktop & mobile-friendly). We can provide this if needed.
- Scalability for future mobile app development (Android & iOS).  

We look forward to a long-term collaboration for future improvements and eventually mobile app development.  Looking forward to working with the right developer to help grow our small passenger transport business! 🙏",$50.00,,"['$50.00', '']",Expert,"['Web Application', 'C#', 'JavaScript', 'PHP', 'Python', 'Square', 'Web Development', 'Haskell', 'Java', 'Payment Gateway Integration']",5 to 10,2.0,0.0,0.0,$1.4K,,,43.0,19.0,,
android_developer,Mobile App Developer,https://www.upwork.com/jobs/Mobile-App-span-class-highlight-Developer-span_~021898376568641564624/?referrer_url_path=/nx/search/jobs/,Fixed-price,Switzerland,"to build a fully functional mobile application. The ideal candidate should have experience in designing and developing mobile apps from scratch, ensuring smooth performance, user-friendly UI/UX, and compatibility across different devices.

Requirements:
• Proven experience in mobile app development (iOS, Android, or both)
• Strong understanding of app architecture, APIs, and backend integration
• Ability to develop a scalable and well-optimized app
• Experience with UI/UX design principles
• Good communication skills and ability to meet deadlines

If you are confident in your ability to deliver a high-quality mobile app, please submit your portfolio along with your proposal. Let’s discuss how we can bring this project to life!","$5,000.00",,"['$5,000.00', '']",Expert,"['Google Play', 'AI Mobile App Development', 'Tablet', 'iOS Development', 'Android App Development', 'iOS', 'Smartphone', 'Realm Database', 'Mobile App Development', 'User Authentication', 'Android']",50+,0.0,0.0,0.0,$6.4K,,,5.0,0.0,,Small company (2-9 people)
android_developer,UI Design for Mobile App,https://www.upwork.com/jobs/Design-for-Mobile-App_~021898369758677315536/?referrer_url_path=/nx/search/jobs/,Fixed-price,India,"We are seeking a talented UI designer to create an engaging and user-friendly interface for our mobile application. The ideal candidate should have a strong portfolio showcasing previous app designs and a keen eye for detail. You will collaborate closely with our development team to ensure the design aligns with functionality and enhances user experience. Proficiency in design tools and an understanding of current design trends is essential. If you are passionate about creating visually appealing and intuitive interfaces, we would love to see your work!",$100.00,,"['$100.00', '']",Intermediate,"['Mobile UI Design', 'Figma', 'Responsive Design', 'Website Redesign', 'UI/UX Prototyping', 'Mobile App Design', 'Home Page', 'Competitive Analysis', 'User Flow', 'UI Animation', 'UX Research', 'Web Design', 'UI Graphics', 'Mockup']",5 to 10,0.0,0.0,0.0,,,,,,Tech & IT,Small company (2-9 people)
android_developer,,https://www.upwork.com/jobs/want-hosting-span-class-highlight-android-span-application_~021898370287668505578/?referrer_url_path=/nx/search/jobs/,,,,,,,,[],,,,,,,,,,,
android_developer,,https://www.upwork.com/jobs/Flutter-gradle-issue_~021898366941113035754/?referrer_url_path=/nx/search/jobs/,,,,,,,Expert,[],,,,,,,,,,,
android_developer,Mobile Software Designer and Developer Needed,https://www.upwork.com/jobs/Mobile-Software-Designer-and-span-class-highlight-Developer-span-Needed_~021898318583400447098/?referrer_url_path=/nx/search/jobs/,Fixed-price,Germany,"We are seeking a talented and professional designer and developer to create a cutting-edge mobile software application. The ideal candidate will have a strong background in both design and development, ensuring a seamless user experience. You will be responsible for the entire development process, from conceptualization to deployment, and will work closely with our team to fulfill project requirements. If you have a passion for mobile software and can deliver high-quality results, we want to hear from you!",$350.00,,"['$350.00', '']",Expert,"['Google Play', 'Tablet', 'iOS Development', 'Android App Development', 'Mobile App Development', 'iOS', 'Web Design', 'Smartphone', 'Web Development', 'User Authentication', 'Android']",5 to 10,1.0,1.0,0.0,,,,,,,
android_developer,Need Help Updating Google API Key & Old Libraries in Android App,https://www.upwork.com/jobs/Need-Help-Updating-Google-API-Key-amp-Old-Libraries-span-class-highlight-Android-span-App_~021898359923316829162/?referrer_url_path=/nx/search/jobs/,Hourly,DZA,"Subject: Need Help Updating Google API Key & Old Libraries in Android App

Hi  

I’m facing an issue with my Android application, which is built using Java. The main problems are:

Google Maps API Key Update: I need to replace the old API key with a new one, but I want to ensure it is correctly configured and all functions are working fine.
Outdated Libraries & Dependencies: When I open the project in Android Studio, it gives me warnings/errors about deprecated or outdated libraries. It seems the project is using very old dependencies that are not compatible with the latest Android Studio version.

Best regards,",$15.00,$30.00,"['$15.00', '$30.00', '']",Intermediate,"['Google Play', 'Tablet', 'iOS Development', 'Android App Development', 'Android Studio', 'iOS', 'Smartphone', 'Mobile App Development', 'User Authentication', 'Java', 'Android']",10 to 15,6.0,6.0,2.0,,< 1 month,Less than 30 hrs/week,,,,
android_developer,"Develop AI Bots for a Poker Game (Unity, C#)",https://www.upwork.com/jobs/span-class-highlight-Develop-span-Bots-for-Poker-Game-Unity_~021898357904128031866/?referrer_url_path=/nx/search/jobs/,Hourly,Israel,"Project Description:
I am looking for an experienced Unity developer proficient in C# to enhance the AI of bots in my Texas Hold'em poker game. The game is already developed, but the bots do not perform automatic actions, and their decision-making system needs improvement. Additionally, turn management should be improved to ensure smooth gameplay.

Main Tasks:

Fix Basic Issues

Ensure turns pass correctly between players.

Update tblBetAmt so that it updates correctly after every bet.

Verify that isBot is correctly assigned to bots in the game.

Enhance AI System for Bots

Make bots perform actions (Check, Call, Raise, Fold) based on board state and hand strength.

Implement a probability-based decision-making system (e.g., bluffing mechanics).

Add timers for bots to simulate human behavior.

Implement Full Hand Ranking System

Develop a system to detect the strongest hands (Straight, Flush, Full House, etc.).

Compare hands to determine the winner at the end of each round (Showdown).

Handle tie cases (Split Pot).

Manage Side Pots for All-in Scenarios

Handle multiple side pots based on players' bet amounts.

Distribute winnings correctly according to Texas Hold'em rules.

Improve User Experience (UX) & Animations

Display real-time game notifications (""Player X went All-in!"").

Add animations for bot actions.

Improve the display of the winning hand with explanations.

Bug Fixes & Testing

Conduct comprehensive logic testing to ensure smooth gameplay.

Optimize code performance to prevent lag or freezing.

Requirements:

Strong experience in Unity and C#.

Prior experience with card games or AI systems is a plus.

Ability to modify existing code without changing the project structure.

Availability for communication and code sharing via Git or Unity Collaborate.

Project Details:

Platform: Unity 2019.4+ (Android)

Tech Stack: C#, Unity Engine

Payment: Hourly rate or fixed price per project stage

How to Apply?
Please submit your bid along with examples of similar projects you have worked on. Mention any relevant experience in poker games or turn-based systems.

Thank you and good luck!",$5.00,,"['$5.00', '']",Entry,"['C#', 'Game Development', 'MySQL', 'iOS', 'Unity', 'Android']",5 to 10,5.0,14.0,9.0,$50,1-3 months,Less than 30 hrs/week,4.0,1.0,,Individual client
